code_ins,nom_officiel_rn,nom_unique_etnic,date_debut
23060,OPWIJK,Opwijk,1/01/0001
23062,OVERIJSE,Overijse,1/01/0001
23064,PEPINGEN,Pepingen,1/01/0001
23077,SINT-PIETERS-LEEUW,Sint-Pieters-Leeuw,1/01/0001
23081,STEENOKKERZEEL,Steenokkerzeel,1/01/0001
23086,TERNAT,Ternat,1/01/0001
23088,VILVOORDE,Vilvoorde,1/01/0001
23094,ZAVENTEM,Zaventem,1/01/0001
23096,ZEMST,Zemst,1/01/0001
23097,ROOSDAAL,Roosdaal,1/01/0001
23098,DROGENBOS,Drogenbos,1/01/0001
23099,KRAAINEM,Kraainem,1/01/0001
23100,LINKEBEEK,Linkebeek,1/01/0001
23101,RHODE-SAINT-GENESE,Rhode-Saint-Genèse,1/01/0001
23102,WEMMEL,Wemmel,1/01/0001
23103,WEZEMBEEK-OPPEM,Wezembeek-Oppem,1/01/0001
23104,LENNIK,Lennik,1/01/0001
23105,AFFLIGEM,Affligem,1/01/0001
24001,AARSCHOT,Aarschot,1/01/0001
24007,BEGIJNENDIJK,Begijnendijk,1/01/0001
24008,BEKKEVOORT,Bekkevoort,1/01/0001
24009,BERTEM,Bertem,1/01/0001
24011,BIERBEEK,Bierbeek,1/01/0001
24014,BOORTMEERBEEK,Boortmeerbeek,1/01/0001
24016,BOUTERSEM,Boutersem,1/01/0001
24020,DIEST,Diest,1/01/0001
24028,GEETBETS,Geetbets,1/01/0001
24033,HAACHT,Haacht,1/01/0001
24038,HERENT,Herent,1/01/0001
24041,HOEGAARDEN,Hoegaarden,1/01/0001
24043,HOLSBEEK,Holsbeek,1/01/0001
24045,HULDENBERG,Huldenberg,1/01/0001
24048,KEERBERGEN,Keerbergen,1/01/0001
24054,KORTENAKEN,Kortenaken,1/01/0001
24055,KORTENBERG,Kortenberg,1/01/0001
24059,LANDEN,Landen,1/01/0001
24062,LEUVEN,Leuven,1/01/0001
24066,LUBBEEK,Lubbeek,1/01/0001
24086,OUD-HEVERLEE,Oud-Heverlee,1/01/0001
24094,ROTSELAAR,Rotselaar,1/01/0001
24104,TERVUREN,Tervuren,1/01/0001
24107,TIENEN,Tienen,1/01/0001
24109,TREMELO,Tremelo,1/01/0001
24130,ZOUTLEEUW,Zoutleeuw,1/01/0001
24133,LINTER,Linter,1/01/0001
24134,SCHERPENHEUVEL-ZICHEM,Scherpenheuvel-Zichem,1/01/0001
24135,TIELT-WINGE,Tielt-Winge,1/01/0001
24137,GLABBEEK,Glabbeek,1/01/0001
25005,BEAUVECHAIN,Beauvechain,1/01/0001
25014,BRAINE-L'ALLEUD,Braine-l'Alleud,1/01/0001
25015,BRAINE-LE-CHATEAU,Braine-le-Château,1/01/0001
25018,CHAUMONT-GISTOUX,Chaumont-Gistoux,1/01/0001
25023,COURT-SAINT-ETIENNE,Court-Saint-Etienne,1/01/0001
25031,GENAPPE,Genappe,1/01/0001
25037,GREZ-DOICEAU,Grez-Doiceau,1/01/0001
25043,INCOURT,Incourt,1/01/0001
25044,ITTRE,Ittre,1/01/0001
25048,JODOIGNE,Jodoigne,1/01/0001
25050,LA HULPE,La Hulpe,1/01/0001
25068,MONT-SAINT-GUIBERT,Mont-Saint-Guibert,1/01/0001
25072,NIVELLES,Nivelles,1/01/0001
25084,PERWEZ,Perwez (BRABANT WALLON),1/01/0001
25091,RIXENSART,Rixensart,1/01/0001
25105,TUBIZE,Tubize,1/01/0001
25107,VILLERS-LA-VILLE,Villers-la-Ville,1/01/0001
25110,WATERLOO,Waterloo,1/01/0001
25112,WAVRE,Wavre,1/01/0001
25117,CHASTRE,Chastre,1/01/0001
25118,HELECINE,Hélécine,1/01/0001
25119,LASNE,Lasne,1/01/0001
25120,ORP-JAUCHE,Orp-Jauche,1/01/0001
25121,OTTIGNIES-LOUVAIN-LA-NEUVE,Ottignies-Louvain-la-Neuve,1/01/0001
25122,RAMILLIES,Ramillies,1/01/0001
25123,REBECQ,Rebecq,1/01/0001
25124,WALHAIN,Walhain,1/01/0001
31003,BEERNEM,Beernem,1/04/2014
31004,BLANKENBERGE,Blankenberge,1/04/2014
31005,BRUGGE,Brugge,1/04/2014
31006,DAMME,Damme,1/04/2014
31012,JABBEKE,Jabbeke,1/04/2014
31022,OOSTKAMP,Oostkamp,1/04/2014
31033,TORHOUT,Torhout,1/04/2014
31040,ZEDELGEM,Zedelgem,1/04/2014
31042,ZUIENKERKE,Zuienkerke,1/04/2014
31043,KNOKKE-HEIST,Knokke-Heist,1/04/2014
31205,BRUGGE (DISTRICT 2),Brugge (district 2),1/04/2014
