code_ins,date_debut,date_fin,nom_officiel_rn,nom_unique_etnic,actif
11223,1/04/2014,,ANTWERPEN (BERENDRECHT-ZANDVLIET-LILLO),Antwerpen (Berendrecht-Zandvliet-Lillo),O
11232,1/01/0001,31/03/2014,ANTWERPEN (BERCHEM),Antwerpen (Berchem),N
11232,1/04/2014,,ANTWERPEN (BERCHEM),Antwerpen (Berchem),O
11242,1/01/0001,31/03/2014,ANTWERPEN (BORGERHOUT),Antwerpen (Borgerhout),N
11242,1/04/2014,,ANTWERPEN (BORGERHOUT),Antwerpen (Borgerhout),O
11252,1/01/0001,31/03/2014,ANTWERPEN (DEURNE),Antwerpen (Deurne),N
11252,1/04/2014,,ANTWERPEN (DEURNE),Antwerpen (Deurne),O
11262,1/01/0001,31/03/2014,ANTWERPEN (EKEREN),Antwerpen (Ekeren),N
11262,1/04/2014,,ANTWERPEN (EKEREN),Antwerpen (Ekeren),O
11272,1/01/0001,31/03/2014,ANTWERPEN (HOBOKEN),Antwerpen (Hoboken),N
11272,1/04/2014,,ANTWERPEN (HOBOKEN),Antwerpen (Hoboken),O
11282,1/01/0001,31/03/2014,ANTWERPEN (MERKSEM),Antwerpen (Merksem),N
11282,1/04/2014,,ANTWERPEN (MERKSEM),Antwerpen (Merksem),O
11292,1/01/0001,31/03/2014,ANTWERPEN (WILRIJK),Antwerpen (Wilrijk),N
11292,1/04/2014,,ANTWERPEN (WILRIJK),Antwerpen (Wilrijk),O
11700,1/01/1830,31/12/1958,ZANDVLIET,Zandvliet,N
12001,1/01/1830,31/12/1976,BEERZEL,Beerzel,N
12002,1/01/0001,31/03/2014,BERLAAR,Berlaar,N
12002,1/04/2014,,BERLAAR,Berlaar,O
12003,1/01/1830,31/12/1976,BEVEL,Bevel,N
12004,1/01/1830,31/12/1976,BLAASVELD,Blaasveld,N
12005,1/01/0001,31/03/2014,BONHEIDEN,Bonheiden,N
12005,1/04/2014,,BONHEIDEN,Bonheiden,O
12006,1/01/1836,31/12/1976,BOOISCHOT,Booischot,N
12007,1/01/0001,31/03/2014,BORNEM,Bornem,N
12007,1/04/2014,,BORNEM,Bornem,O
12008,1/01/1836,31/12/1976,BREENDONK,Breendonk,N
12009,1/01/0001,31/03/2014,DUFFEL,Duffel,N
12009,1/04/2014,,DUFFEL,Duffel,O
12010,1/01/1830,31/12/1964,GESTEL,Gestel,N
12011,1/01/1876,31/12/1976,HALLAAR,Hallaar,N
12012,1/01/1830,31/12/1976,HEFFEN,Heffen,N
12013,1/01/1830,31/12/1976,HEINDONK,Heindonk,N
12014,1/01/0001,31/03/2014,HEIST-OP-DEN-BERG,Heist-op-den-Berg,N
12014,1/04/2014,,HEIST-OP-DEN-BERG,Heist-op-den-Berg,O
12015,1/01/1830,31/12/1976,HINGENE,Hingene,N
12016,1/01/1830,31/12/1976,HOMBEEK,Hombeek,N
12017,1/01/1830,31/12/1976,ITEGEM,Itegem,N
12018,1/01/1830,31/12/1976,KESSEL,Kessel,N
12019,1/01/1830,31/12/1976,KONINGSHOOIKT,Koningshooikt,N
12020,1/01/1830,31/12/1976,LEEST,Leest,N
12021,1/01/0001,31/03/2014,LIER,Lier,N
12021,1/04/2014,,LIER,Lier,O
12022,1/01/1830,31/12/1976,LIEZELE,Liezele,N
12023,1/01/1830,31/12/1976,LIPPELO,Lippelo,N
12024,1/01/1830,31/12/1976,MARIEKERKE,Mariekerke,N
12025,1/01/0001,31/03/2014,MECHELEN,Mechelen,N
12025,1/04/2014,,MECHELEN,Mechelen,O
12026,1/01/0001,31/03/2014,NIJLEN,Nijlen,N
12026,1/04/2014,,NIJLEN,Nijlen,O
12027,1/01/1830,31/12/1976,ONZE-LIEVE-VROUW-WAVER,Onze-Lieve-Vrouw-Waver,N
12028,1/01/1830,31/12/1976,OPPUURS,Oppuurs,N
12029,1/01/0001,31/03/2014,PUTTE,Putte,N
12029,1/04/2014,,PUTTE,Putte,O
12030,1/01/0001,31/03/2014,PUURS,Puurs,N
12030,1/04/2014,31/12/2018,PUURS,Puurs,N
12031,1/01/1830,31/12/1976,RIJMENAM,Rijmenam,N
12032,1/01/1830,31/12/1976,RUISBROEK,Ruisbroek (ANTWERPEN),N
12033,1/01/1830,31/12/1976,SCHRIEK,Schriek,N
12034,1/01/0001,31/03/2014,SINT-AMANDS,Sint-Amands,N
12034,1/04/2014,31/12/2018,SINT-AMANDS,Sint-Amands,N
12035,1/01/0001,31/03/2014,SINT-KATELIJNE-WAVER,Sint-Katelijne-Waver,N
12035,1/04/2014,,SINT-KATELIJNE-WAVER,Sint-Katelijne-Waver,O
12036,1/01/1830,31/12/1976,TISSELT,Tisselt,N
12037,1/01/1830,31/12/1976,WALEM,Walem,N
12038,1/01/1830,31/12/1976,WEERT,Weert,N
12039,1/01/1830,31/12/1976,WIEKEVORST,Wiekevorst,N
12040,1/01/0001,31/03/2014,WILLEBROEK,Willebroek,N
12040,1/04/2014,,WILLEBROEK,Willebroek,O
12041,1/01/2019,,PUURS-SINT-AMANDS,Puurs-Sint-Amands,O
13001,1/01/0001,31/03/2014,ARENDONK,Arendonk,N
13001,1/04/2014,,ARENDONK,Arendonk,O
13002,1/01/0001,31/03/2014,BAARLE-HERTOG,Baarle-Hertog,N
13002,1/04/2014,,BAARLE-HERTOG,Baarle-Hertog,O
13003,1/01/0001,31/03/2014,BALEN,Balen,N
13003,1/04/2014,,BALEN,Balen,O
13004,1/01/0001,31/03/2014,BEERSE,Beerse,N
13004,1/04/2014,,BEERSE,Beerse,O
13005,1/01/1830,31/12/1976,BOUWEL,Bouwel,N
13006,1/01/0001,31/03/2014,DESSEL,Dessel,N
13006,1/04/2014,,DESSEL,Dessel,O
13007,1/01/1830,31/12/1976,EINDHOUT,Eindhout,N
13008,1/01/0001,31/03/2014,GEEL,Geel,N
13008,1/04/2014,,GEEL,Geel,O
13009,1/01/1830,31/12/1976,GIERLE,Gierle,N
13010,1/01/0001,31/03/2014,GROBBENDONK,Grobbendonk,N
13010,1/04/2014,,GROBBENDONK,Grobbendonk,O
13011,1/01/0001,31/03/2014,HERENTALS,Herentals,N
13011,1/04/2014,,HERENTALS,Herentals,O
13012,1/01/0001,31/03/2014,HERENTHOUT,Herenthout,N
13012,1/04/2014,,HERENTHOUT,Herenthout,O
13013,1/01/0001,31/03/2014,HERSELT,Herselt,N
13013,1/04/2014,,HERSELT,Herselt,O
13014,1/01/0001,31/03/2014,HOOGSTRATEN,Hoogstraten,N
13014,1/04/2014,,HOOGSTRATEN,Hoogstraten,O
13015,1/01/1830,31/12/1976,HOUTVENNE,Houtvenne,N
13016,1/01/0001,31/03/2014,HULSHOUT,Hulshout,N
13016,1/04/2014,,HULSHOUT,Hulshout,O
13017,1/01/0001,31/03/2014,KASTERLEE,Kasterlee,N
13017,1/04/2014,,KASTERLEE,Kasterlee,O
13018,1/01/1830,31/12/1976,LICHTAART,Lichtaart,N
13019,1/01/0001,31/03/2014,LILLE,Lille,N
13019,1/04/2014,,LILLE,Lille,O
13020,1/01/1830,31/12/1976,MEER,Meer,N
13021,1/01/0001,31/03/2014,MEERHOUT,Meerhout,N
13021,1/04/2014,,MEERHOUT,Meerhout,O
13022,1/01/1830,31/12/1976,MEERLE,Meerle,N
13023,1/01/0001,31/03/2014,MERKSPLAS,Merksplas,N
13023,1/04/2014,,MERKSPLAS,Merksplas,O
13024,1/01/1830,31/12/1976,MINDERHOUT,Minderhout,N
13025,1/01/0001,31/03/2014,MOL,Mol,N
13025,1/04/2014,,MOL,Mol,O
13026,1/01/1830,31/12/1976,MORKHOVEN,Morkhoven,N
13027,1/01/1830,31/12/1976,NOORDERWIJK,Noorderwijk,N
13028,1/01/1830,31/12/1976,OEVEL,Oevel,N
13029,1/01/0001,31/03/2014,OLEN,Olen,N
13029,1/04/2014,,OLEN,Olen,O
13030,1/01/1830,31/12/1976,OLMEN,Olmen,N
13031,1/01/0001,31/03/2014,OUD-TURNHOUT,Oud-Turnhout,N
13031,1/04/2014,,OUD-TURNHOUT,Oud-Turnhout,O
13032,1/01/1830,31/12/1976,POEDERLEE,Poederlee,N
13033,1/01/1830,31/12/1976,POPPEL,Poppel,N
13034,1/01/1865,31/12/1976,RAMSEL,Ramsel,N
13035,1/01/0001,31/03/2014,RAVELS,Ravels,N
13035,1/04/2014,,RAVELS,Ravels,O
13036,1/01/0001,31/03/2014,RETIE,Retie,N
13036,1/04/2014,,RETIE,Retie,O
13037,1/01/0001,31/03/2014,RIJKEVORSEL,Rijkevorsel,N
13037,1/04/2014,,RIJKEVORSEL,Rijkevorsel,O
13038,1/01/1830,31/12/1976,TIELEN,Tielen,N
13039,1/01/1830,31/12/1970,TONGERLO,Tongerlo (ANTWERPEN),N
13040,1/01/0001,31/03/2014,TURNHOUT,Turnhout,N
13040,1/04/2014,,TURNHOUT,Turnhout,O
13041,1/01/1830,31/12/1970,VARENDONK,Varendonk,N
13042,1/01/1830,31/12/1976,VEERLE,Veerle,N
13043,1/01/1830,31/12/1976,VLIMMEREN,Vlimmeren,N
13044,1/01/0001,31/03/2014,VORSELAAR,Vorselaar,N
13044,1/04/2014,,VORSELAAR,Vorselaar,O
